filename,width,height,class,xmin,ymin,xmax,ymax,angle
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W10.jpg,295,171,pistol,157,52,161,67,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1002.jpg,500,500,pistol,45,121,452,268,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1005.jpg,300,168,gun,69,56,267,94,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1008.jpg,220,147,gun,0,25,156,93,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1009.jpg,275,183,gun,54,109,201,160,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1009.jpg,275,183,gun,96,62,149,75,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W101.jpg,335,150,gun,27,43,88,80,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W101.jpg,335,150,pistol,83,71,121,87,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W101.jpg,335,150,pistol,201,104,232,125,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W101.jpg,335,150,gun,295,3,328,73,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1010.jpg,275,183,gun,14,61,133,98,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1010.jpg,275,183,gun,103,20,161,36,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1011.jpg,259,194,gun,96,59,150,76,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1011.jpg,259,194,gun,168,53,225,78,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1013.jpg,184,274,pistol,0,7,143,174,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1014.jpg,311,162,gun,75,66,265,123,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1015.jpg,276,183,gun,52,103,257,137,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1017.jpg,275,183,gun,118,55,265,92,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1018.jpg,1200,800,gun,587,288,1198,588,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1020.jpg,259,194,gun,102,60,198,149,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1022.jpg,269,188,gun,65,53,137,86,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1025.jpg,259,194,gun,116,54,184,69,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1029.jpg,276,183,gun,16,77,81,106,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1036.jpg,1920,1200,gun,277,360,1493,1029,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1040.jpg,749,499,gun,353,236,619,297,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1041.jpg,728,455,gun,73,148,609,305,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1042.jpg,289,175,gun,92,46,256,101,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1044.jpg,400,264,gun,25,115,382,245,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W105.jpg,300,168,gun,53,46,288,156,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1054.jpg,480,360,gun,57,109,293,160,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1056.jpg,275,183,gun,71,47,270,167,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1057.jpg,183,275,pistol,68,71,85,88,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W106.jpg,2880,1800,pistol,99,147,1365,1038,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1064.jpg,960,645,gun,470,23,651,623,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1065.jpg,225,224,gun,0,45,218,197,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1066.jpg,259,194,gun,0,32,189,123,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1068.jpg,275,183,pistol,110,39,231,84,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1070.jpg,259,194,gun,28,78,205,127,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1074.jpg,275,183,gun,98,88,149,106,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1074.jpg,275,183,gun,127,78,168,90,0
C:\Users\Nazeef Ul Haq\Downloads\New folder\oriented\W1074.jpg,275,183,gun,156,76,193,85,0
